entity_id,entity_name,sector,sub_sector,category,state,data_status,capacity_tonnes,operating_days,baseline_year,baseline_output_tonnes,baseline_gei,target_gei_2025_26,target_gei_2026_27,actual_output_2025_26,actual_gei_2025_26,shortfall_2025_26_tco2e,surplus_2025_26_tco2e,actual_output_2026_27,actual_gei_2026_27,shortfall_2026_27_tco2e,surplus_2026_27_tco2e,primary_project_title,project_capex_cr,project_reduction_tco2e
SYN-CEM-001,Synthetic Cement Unit 01 (Hero Demo),cement,Integrated Cement Plant (OPC/PPC),CCTS_MONITORED,Rajasthan,SYNTHETIC,1200000.0,330,2023-24,1000000.0,0.738,0.72,0.702,1000000.0,0.745,25000.0,0.0,1020000.0,0.74,38760.0,0.0,,85.0,55000.0
SYN-CEM-002,Synthetic Cement Unit 02 (Western Clinker),cement,Integrated Cement Plant (OPC/PPC),CCTS_MONITORED,Andhra Pradesh,SYNTHETIC,1196000.0,330,2023-24,1040000.0,0.738,0.72,0.702,1040000.0,0.7454,26416.0,0.0,1060800.0,0.7402,40522.56,0.0,,85.0,55000.0
SYN-CEM-003,Synthetic Cement Unit 03 (Southern Grinding & Kiln),cement,Integrated Cement Plant (OPC/PPC),CCTS_MONITORED,Madhya Pradesh,SYNTHETIC,1288000.0,330,2023-24,1120000.0,0.738,0.72,0.702,1120000.0,0.7454,28448.0,0.0,1142400.0,0.7402,43639.68,0.0,,85.0,55000.0
SYN-ALU-001,Synthetic Aluminium Unit 01 (Smelter East),aluminium,Aluminium Smelting,CCTS_MONITORED,Odisha,SYNTHETIC,276000.0,330,2023-24,240000.0,14.85,14.48,14.12,240000.0,14.9985,124440.0,0.0,244800.0,14.8945,189597.6,0.0,,140.0,110000.0
SYN-ALU-002,Synthetic Aluminium Unit 02 (Smelter Central),aluminium,Aluminium Smelting,CCTS_MONITORED,Chhattisgarh,SYNTHETIC,299000.0,330,2023-24,260000.0,14.85,14.48,14.12,260000.0,14.9985,134810.0,0.0,265200.0,14.8945,205397.4,0.0,,140.0,110000.0
SYN-ALU-003,Synthetic Aluminium Unit 03 (Smelter West),aluminium,Aluminium Smelting,CCTS_MONITORED,Madhya Pradesh,SYNTHETIC,322000.0,330,2023-24,280000.0,14.85,14.48,14.12,280000.0,14.9985,145180.0,0.0,285600.0,14.8945,221197.2,0.0,,140.0,110000.0
SYN-CLA-001,Synthetic Chlor-Alkali Unit 01,chlor_alkali,Membrane Cell Caustic Soda,CCTS_MONITORED,Gujarat,SYNTHETIC,198720.0,330,2023-24,172800.0,1.82,1.765,1.71,172800.0,1.8382,12648.96,0.0,176256.0,1.8255,20357.57,0.0,,52.0,22000.0
SYN-CLA-002,Synthetic Chlor-Alkali Unit 02,chlor_alkali,Membrane Cell Caustic Soda,CCTS_MONITORED,Tamil Nadu,SYNTHETIC,215280.0,330,2023-24,187200.0,1.82,1.765,1.71,187200.0,1.8382,13703.04,0.0,190944.0,1.8255,22054.03,0.0,,52.0,22000.0
SYN-CLA-003,Synthetic Chlor-Alkali Unit 03,chlor_alkali,Membrane Cell Caustic Soda,CCTS_MONITORED,Maharashtra,SYNTHETIC,231840.0,330,2023-24,201600.0,1.82,1.765,1.71,201600.0,1.8382,14757.12,0.0,205632.0,1.8255,23750.5,0.0,,52.0,22000.0
SYN-PUL-001,Synthetic Pulp & Paper Unit 01,pulp_paper,Wood-based Integrated Pulp & Paper,CCTS_MONITORED,Andhra Pradesh,SYNTHETIC,165600.0,330,2023-24,144000.0,1.95,1.89,1.83,144000.0,1.9695,11448.0,0.0,146880.0,1.9558,18477.5,0.0,,48.0,18500.0
SYN-PUL-002,Synthetic Pulp & Paper Unit 02,pulp_paper,Wood-based Integrated Pulp & Paper,CCTS_MONITORED,Telangana,SYNTHETIC,179400.0,330,2023-24,156000.0,1.95,1.89,1.83,156000.0,1.9695,12402.0,0.0,159120.0,1.9558,20017.3,0.0,,48.0,18500.0
SYN-PUL-003,Synthetic Pulp & Paper Unit 03,pulp_paper,Wood-based Integrated Pulp & Paper,CCTS_MONITORED,Punjab,SYNTHETIC,193200.0,330,2023-24,168000.0,1.95,1.89,1.83,168000.0,1.9695,13356.0,0.0,171360.0,1.9558,21557.09,0.0,,48.0,18500.0
SYN-PET-001,Synthetic Petrochemical Complex 01,petrochemicals,Naphtha / Gas Naphtha Cracker,CCTS_MONITORED,Gujarat,SYNTHETIC,883200.0,330,2023-24,768000.0,1.25,1.215,1.18,768000.0,1.2625,36480.0,0.0,783360.0,1.2537,57733.63,0.0,,115.0,42000.0
SYN-PET-002,Synthetic Petrochemical Complex 02,petrochemicals,Naphtha / Gas Naphtha Cracker,CCTS_MONITORED,Maharashtra,SYNTHETIC,956800.0,330,2023-24,832000.0,1.25,1.215,1.18,832000.0,1.2625,39520.0,0.0,848640.0,1.2537,62544.77,0.0,,115.0,42000.0
SYN-PET-003,Synthetic Petrochemical Complex 03,petrochemicals,Naphtha / Gas Naphtha Cracker,CCTS_MONITORED,Assam,SYNTHETIC,1030400.0,330,2023-24,896000.0,1.25,1.215,1.18,896000.0,1.2625,42560.0,0.0,913920.0,1.2537,67355.9,0.0,,115.0,42000.0
SYN-REF-001,Synthetic Coastal Refinery Unit 01,petroleum_refinery,High Complexity Coastal Refinery,CCTS_MONITORED,Gujarat,SYNTHETIC,13248000.0,330,2023-24,11520000.0,0.285,0.277,0.269,11520000.0,0.2878,124416.0,0.0,11750400.0,0.2859,198581.76,0.0,,175.0,125000.0
SYN-REF-002,Synthetic Inland Refinery Unit 02,petroleum_refinery,High Complexity Coastal Refinery,CCTS_MONITORED,Maharashtra,SYNTHETIC,14352000.0,330,2023-24,12480000.0,0.285,0.277,0.269,12480000.0,0.2878,134784.0,0.0,12729600.0,0.2859,215130.24,0.0,,175.0,125000.0
SYN-REF-003,Synthetic Coastal Refinery Unit 03,petroleum_refinery,High Complexity Coastal Refinery,CCTS_MONITORED,Odisha,SYNTHETIC,15456000.0,330,2023-24,13440000.0,0.285,0.277,0.269,13440000.0,0.2878,145152.0,0.0,13708800.0,0.2859,231678.72,0.0,,175.0,125000.0
SYN-TEX-001,Synthetic Composite Textile Mill 01,textile,Composite Fabric & Processing Mill,CCTS_MONITORED,Tamil Nadu,SYNTHETIC,44160.0,330,2023-24,38400.0,4.65,4.51,4.37,38400.0,4.6965,7161.6,0.0,39168.0,4.6639,11511.48,0.0,,24.0,9200.0
SYN-TEX-002,Synthetic Composite Textile Mill 02,textile,Composite Fabric & Processing Mill,CCTS_MONITORED,Gujarat,SYNTHETIC,47840.0,330,2023-24,41600.0,4.65,4.51,4.37,41600.0,4.6965,7758.4,0.0,42432.0,4.6639,12470.76,0.0,,24.0,9200.0
SYN-TEX-003,Synthetic Composite Textile Mill 03,textile,Composite Fabric & Processing Mill,CCTS_MONITORED,Punjab,SYNTHETIC,51520.0,330,2023-24,44800.0,4.65,4.51,4.37,44800.0,4.6965,8355.2,0.0,45696.0,4.6639,13430.05,0.0,,24.0,9200.0
SYN-STE-001,Synthetic Integrated Steel Unit 01 (Watchlist Demo),iron_steel,Integrated BF-BOF Steel Plant,WATCHLIST,Jharkhand,SYNTHETIC,2760000.0,330,2023-24,2400000.0,2.38,2.31,2.24,2400000.0,2.4038,225120.0,0.0,2448000.0,2.3871,360100.8,0.0,,220.0,210000.0
SYN-STE-002,Synthetic Integrated Steel Unit 02,iron_steel,Integrated BF-BOF Steel Plant,WATCHLIST,Odisha,SYNTHETIC,2990000.0,330,2023-24,2600000.0,2.38,2.31,2.24,2600000.0,2.4038,243880.0,0.0,2652000.0,2.3871,390109.2,0.0,,220.0,210000.0
SYN-FER-001,Synthetic Ammonia-Urea Complex 01 (Watchlist Demo),fertiliser,Natural Gas Ammonia-Urea Complex,WATCHLIST,Uttar Pradesh,SYNTHETIC,1435200.0,330,2023-24,1248000.0,0.62,0.605,0.59,1248000.0,0.6262,26457.6,0.0,1272960.0,0.6219,40607.42,0.0,,65.0,32000.0
SYN-FER-002,Synthetic Ammonia-Urea Complex 02,fertiliser,Natural Gas Ammonia-Urea Complex,WATCHLIST,Gujarat,SYNTHETIC,1554800.0,330,2023-24,1352000.0,0.62,0.605,0.59,1352000.0,0.6262,28662.4,0.0,1379040.0,0.6219,43991.38,0.0,,65.0,32000.0
