opportunity_id,sector,technology_title,technology_category,abatement_description,capex_benchmark_basis,typical_energy_savings_pct,typical_emission_reduction_pct,typical_payback_years,typical_10yr_irr_pct,abatement_cost_inr_per_tco2e,implementation_months,mrv_complexity,methodology_code
BAT-CEM-01,cement,Kiln Pre-heater & Clinker Cooler WHRS (15 MW Captive),Waste Heat Recovery & Power Generation,Capture sensible heat from kiln suspension preheater and grate cooler exhaust gases to drive Rankine cycle turbine.,₹75 Cr per 1 Mt/yr capacity,28.0,5.2,3.4,28.5,480.0,14,LOW,BM IN02.001
BAT-CEM-02,cement,Alternative Fuel & Raw Material (AFR) Co-Processing (20% TSR),Fuel Switching & Circular Economy,"Automated pneumatic shredded RDF and biomass co-processing in kiln precalciner, substituting petcoke.",₹30 Cr per 1 Mt/yr capacity,35.0,4.2,2.1,36.0,320.0,8,MEDIUM,BM EN01.003
BAT-CEM-03,cement,LC3 Calcined Clay Blending & 4th Gen VRM Separator,Clinker Substitution & Process Decarbonisation,Replace 15% clinker with calcined clay and limestone to reduce clinker factor to 60%.,₹22 Cr per 1 Mt/yr capacity,30.0,3.5,2.5,32.0,390.0,10,MEDIUM,BM IN02.001
BAT-ALU-01,aluminium,Zero-Gap Bipolar Anode Retrofit & Point-Feeder Automation,Electrochemical Efficiency & SEC Reduction,"Modifies potline anode design to eliminate voltage drop, lowering DC SEC from 14,800 to 13,800 kWh/t Al.",₹120 Cr per 500 kt/yr smelter,24.0,6.8,3.8,24.5,540.0,18,MEDIUM,BM IN02.001
BAT-ALU-02,aluminium,Round-the-Clock (RTC) Renewable Solar/Wind PPA,Clean Energy Sourcing (Scope 2),Long-term bilateral virtual PPA with battery energy storage (BESS) replacing thermal captive power.,₹0 Cr direct capex (Tariff ₹3.85/kWh),18.0,12.0,0.0,42.0,280.0,6,LOW,BM EN01.001
BAT-STE-01,iron_steel,Blast Furnace Top-Gas Recovery Turbine (TRT) & Waste Heat,Energy Recovery & Power Generation,Extract pressure and sensible energy from blast furnace top gas to generate 30-40 kWh/t hot metal.,₹95 Cr per 2 Mt/yr steel works,26.0,4.5,3.2,29.0,490.0,16,LOW,BM IN02.001
BAT-STE-02,iron_steel,Coke Dry Quenching (CDQ) with High Pressure Steam Boiler,Waste Heat Recovery & Dust Abatement,"Eliminates wet quenching of red-hot coke using inert circulating gas, generating 0.5 t high-pressure steam/t coke.",₹140 Cr per 1.5 Mt/yr coke oven,22.0,3.8,4.1,21.0,620.0,20,LOW,BM IN02.001
BAT-CLA-01,chlor_alkali,Zero-Gap Membrane Electrolyser Retrofit,BAT Electrolyser Upgrade,"Upgrades standard bipolar membrane elements to zero-gap configuration, reducing cell voltage to 2.95V.",₹45 Cr per 200 kt/yr NaOH unit,30.0,12.8,2.8,33.5,380.0,12,LOW,BM IN02.001
BAT-PUL-01,pulp_paper,Black Liquor Recovery Boiler Modernization & High Solid Evaporator,Biogenic Chemical & Energy Recovery,"Increases black liquor firing solids to 80%, yielding higher steam temperatures and net negative fossil footprint.",₹80 Cr per 300 kt/yr mill,27.0,11.5,3.5,26.0,450.0,16,MEDIUM,BM EN01.003
BAT-REF-01,petroleum_refinery,Cracker Convection Coil Revamp & Low-NOx Preheated Burners,Furnace & Combustion Thermal Efficiency,Air preheaters and extended convection tubes boosting fired heater efficiency from 84% to 93%.,₹55 Cr per crude distillation unit,25.0,4.8,3.1,30.0,510.0,10,LOW,BM IN02.001
